t_s,x0_m,v0_m_per_s
0.0,0.0,0.0
2e-06,2.542608685961428e-15,5.592742823220477e-09
4e-06,4.269135541712528e-14,4.369416764232985e-08
6e-06,2.1790267588174034e-13,1.4672501716708264e-07
8e-06,6.903761430623462e-13,3.4700733034161864e-07
9.999999999999999e-06,1.6868551666352364e-12,6.767625514866767e-07
1.2e-05,3.498423922478543e-12,1.1681096512836064e-06
1.4e-05,6.48030053606611e-12,1.8530632596935626e-06
1.6e-05,1.1051626543710057e-11,2.7635318109042075e-06
1.8e-05,1.769525265579853e-11,3.931315700395211e-06
1.9999999999999998e-05,2.695752084635662e-11,5.388105454212756e-06
2.2e-05,3.94480427934379e-11,7.1654799105422176e-06
2.4e-05,5.583947469503111e-11,9.294904413667124e-06
2.6e-05,7.686728848534189e-11,1.1807729020401413e-05
2.8e-05,1.0332953947648231e-10,1.4735186719080963e-05
2.9999999999999997e-05,1.3608663045077169e-10,1.8108391661199282e-05
3.2e-05,1.7606107222902135e-10,2.195833740577122e-05
3.4e-05,2.242372407403419e-10,2.6315895176507314e-05
3.6e-05,2.8166113061917654e-10,3.12118121318806e-05
3.7999999999999995e-05,3.494401053554258e-10,3.667670964816636e-05
3.9999999999999996e-05,4.2874264402368964e-10,4.2741081615534314e-05
4.2e-05,5.207980846178099e-10,4.9435292747271706e-05
4.4e-05,6.268963640170532e-10,5.678957690221454e-05
4.6e-05,7.483877546104259e-10,6.483403542046326e-05
4.8e-05,8.866825976057663e-10,7.359863547245792e-05
4.9999999999999996e-05,1.0432510330504073e-09,8.311320842148709e-05
5.2e-05,1.219622726590349e-09,9.340744819970297e-05
5.4e-05,1.4173865929950276e-09,0.00010451090969771524
5.6e-05,1.6381905164749065e-09,0.00011645300716783375
5.8e-05,1.8837410678192607e-09,0.00012926301264103003
5.9999999999999995e-05,2.155803218381656e-09,0.00014297005435768602
6.2e-05,2.4562000509407714e-09,0.00015760311521219756
6.4e-05,2.786812467464331e-09,0.0001731910312114989
6.599999999999999e-05,3.149578893804068e-09,0.0001897624899475734
6.8e-05,3.5464949813497405e-09,0.00020734602908401427
7e-05,3.979613305670373e-09,0.00022597003485669919
7.2e-05,4.451043062171014e-09,0.0002456627405886394
7.4e-05,4.962949758793412e-09,0.0002664522252190657
7.599999999999999e-05,5.517554905789149e-09,0.0002883664118468084
7.8e-05,6.117135702593876e-09,0.0003114330662880331
7.999999999999999e-05,6.764024721831428e-09,0.0003356797956483872
8.2e-05,7.460609590476679e-09,0.00036113404690961355
8.4e-05,8.209332668206143e-09,0.0003878231055306882
8.599999999999999e-05,9.01269072296542e-09,0.000415774094063535
8.8e-05,9.873234603782686e-09,0.00044501397078336896
8.999999999999999e-05,1.0793568910857537e-08,0.0004755695283337231
9.2e-05,1.1776351662954629e-08,0.000507467392386206
9.4e-05,1.2824293962131581e-08,0.0005407340203150433
9.6e-05,1.3940159655830804e-08,0.000575395699886447
9.8e-05,1.5126764996364923e-08,0.0006114785479628658
9.999999999999999e-05,1.638697829782562e-08,0.0006490085092221571
0.000102,1.7723719590445796e-08,0.0006880113548917286
0.000104,1.913996027244498e-08,0.0007285126814976934
0.000106,2.0638722759388153e-08,0.0007705379096290801
0.000108,2.222308013108803e-08,0.000814112282717142
0.00010999999999999999,2.3896155776081124e-08,0.0008592608658298025
0.000112,2.5661123033707865e-08,0.0009060085444812805
0.00011399999999999999,2.7521204833827165e-08,0.0009543800234569299
0.000116,2.9479673334195928e-08,0.0010043998256533322
0.000118,3.153984955554401e-08,0.0010560922909336804
0.00011999999999999999,3.370510301437527e-08,0.0011094815749984864
0.000122,3.59788513535254e-08,0.001164591648271645
0.000124,3.8364559970507264e-08,0.001221446294801892
0.000126,4.086574164367453e-08,0.0012800691111796818
0.000128,4.3485956156234574e-08,0.0013404835054695204
0.00013,4.622880991814149e-08,0.0014027126961577796
0.00013199999999999998,4.909795558590023e-08,0.0014667797111160247
0.000134,5.209709168031293e-08,0.001532707386579875
0.000136,5.522996220219852e-08,0.0016005183661434346
0.000138,5.850035624611683e-08,0.0016702350997693078
0.00014,6.191210761212822e-08,0.0017418798428142294
0.00014199999999999998,6.546909441562023e-08,0.0018154746550703312
0.000144,6.917523869523235e-08,0.0018910413998220643
0.000146,7.303450601891031e-08,0.001968601742918801
0.000148,7.705090508812126e-08,0.002048177151863132
0.00015,8.122848734026129e-08,0.002129788894914879
0.00015199999999999998,8.557134654928666e-08,0.002213458040210846
0.000154,9.008361842460039e-08,0.0022992054549003105
0.000156,9.476948020822544e-08,0.0023870518042962852
0.000158,9.963315027029617e-08,0.002477017551042557
0.00015999999999999999,1.0467888770289999e-07,0.0025691229542965147
0.00016199999999999998,1.0991099191230003e-07,0.002663388068927781
0.000164,1.1533380220957115e-07,0.002759832744732654
0.000166,1.209516973996806e-07,0.00285847662566438
0.000168,1.2676909536904502e-07,0.0029593391490792486
0.00016999999999999999,1.3279045267159555e-07,0.0030624395449985312
0.00017199999999999998,1.390202641133826e-07,0.0031677968353862646
0.000174,1.454630623357519e-07,0.0032754298334428853
0.000176,1.5212341739712398e-07,0.0033853571429147133
0.000178,1.5900593635340832e-07,0.0034975971574193027
0.00017999999999999998,1.6611526283708386e-07,0.003612168059786644
0.00018199999999999998,1.7345607663497814e-07,0.003729087821416232
0.000184,1.8103309326477625e-07,0.0038483742016499917
0.000186,1.8885106355029138e-07,0.0039700447471610655
0.000188,1.9691477319552912e-07,0.004094116791358456
0.00018999999999999998,2.052290423575765e-07,0.004220607453807525
0.000192,2.137987252183482e-07,0.004349533639666341
0.000194,2.2262870955522118e-07,0.00448091203913787
0.000196,2.3172391631058952e-07,0.004614759126938011
0.000198,2.4108929916037123e-07,0.0047510911617794525
0.00019999999999999998,2.5072984408149837e-07,0.004889924185871353
0.000202,2.606505689184228e-07,0.005031274024434847
0.000204,2.708565229486682e-07,0.005175156285234329
0.000206,2.813527864474608e-07,0.005321586358124559
0.000208,2.921444702514703e-07,0.005470579414613514
0.00020999999999999998,3.0323671532169147e-07,0.00562215040744103
0.000212,3.1463469230549967e-07,0.005776314070173172
0.000214,3.2634360109791043e-07,0.0059330849168123595
0.000216,3.3836867040207486e-07,0.0060924772414231885
0.00021799999999999999,3.507151572890428e-07,0.006254505117773973
0.00021999999999999998,3.633883467568245e-07,0.006419182398993955
0.000222,3.763935512887822e-07,0.006586522717246171
0.000224,3.897361104113836e-07,0.0067565394834159815
0.000226,4.0342139025134756e-07,0.006929245886815191
0.00022799999999999999,4.1745478309221373e-07,0.007104654894901787
0.00022999999999999998,4.3184170693036757e-07,0.007282779253015243
0.000232,4.4658760503055097e-07,0.007463631484127366
0.000234,4.616979454808904e-07,0.007647223888608676
0.000236,4.771782207474735e-07,0.007833568544010266
0.00023799999999999998,4.930339472285047e-07,0.00802267730486116
0.00023999999999999998,5.092706648080706e-07,0.008214561802481066
0.000242,5.25893936409547e-07,0.008409233444808593
0.000244,5.429093475486773e-07,0.008606703416244794
0.00024599999999999996,5.603225058863532e-07,0.008806982677512103
0.000248,5.781390407811293e-07,0.009010081965528572
0.00025,5.963646028415006e-07,0.009216011793297367
0.000252,6.150048634779747e-07,0.009424782449811559
0.000254,6.340655144549687e-07,0.009636403999974093
0.000256,6.535522674425615e-07,0.009850886284532956
0.000258,6.734708535681313e-07,0.010068238920031466
0.00026,6.938270229679088e-07,0.010288471298773683
0.00026199999999999997,7.14626544338476e-07,0.010511592588804889
0.00026399999999999997,7.358752044882417e-07,0.010737611733907054
0.000266,7.575788078889227e-07,0.010966537453609348
0.000268,7.797431762270602e-07,0.011198378243213526
0.00027,8.02374147955603e-07,0.01143314237383427
0.000272,8.25477577845586e-07,0.011670837892454359
0.000274,8.490593365379326e-07,0.011911472621994667
0.000276,8.73125310095414e-07,0.012155054161398919
0.000278,8.976813995547911e-07,0.012401589885733161
0.00028,9.227335204791702e-07,0.012651086946299935
0.00028199999999999997,9.482876025106031e-07,0.012903552270767043
0.00028399999999999996,9.74349588922957e-07,0.013158992563310929
0.000286,1.0009254361750878e-06,0.013417414304774554
0.000288,1.0280211134643428e-06,0.013678823752839783
0.00029,1.0556426022804218e-06,0.013943226942214181
0.000292,1.0837958959596277e-06,0.014210629684832188
0.000294,1.1124869992395334e-06,0.014481037570070627
0.000296,1.1417219278140925e-06,0.014754455964978474
0.000298,1.171506707889226e-06,0.015030890014520855
0.0003,1.20184737573891e-06,0.015310344641837186
0.00030199999999999997,1.2327499772617929e-06,0.015592824548513441
0.00030399999999999996,1.2642205675383736e-06,0.015878334214868457
0.000306,1.2962652103887638e-06,0.016166877900254215
0.000308,1.328889977931066e-06,0.01645845964337009
0.00031,1.3621009501403952e-06,0.016753083262590958
0.000312,1.3959042144085673e-06,0.01705075235630907
0.000314,1.4303058651044877e-06,0.017351470303289797
0.000316,1.4653120031352652e-06,0.01765524026304093
0.000318,1.5009287355080758e-06,0.01796206517619569
0.00031999999999999997,1.537162174892809e-06,0.01827194776490932
0.00032199999999999997,1.5740184391855182e-06,0.018584890533269092
0.00032399999999999996,1.6115036510727063e-06,0.018900895767717855
0.000326,1.649623937596471e-06,0.019219965537490898
0.000328,1.688385429720538e-06,0.019542101695066122
0.00033,1.7277942618972066e-06,0.019867305876627488
0.000332,1.767856571635236e-06,0.020195579502541593
0.000334,1.8085784990686975e-06,0.02052692377784739
0.000336,1.8499661865268204e-06,0.020861339692758923
0.000338,1.8920257781048552e-06,0.021198828023181047
0.00033999999999999997,1.934763419235981e-06,0.021539389331238036
0.00034199999999999996,1.978185256264283e-06,0.02188302396581501
0.00034399999999999996,2.022297436018827e-06,0.02222973206311214
0.000346,2.0671061053888543e-06,0.0225795135472115
0.000348,2.1126174109001205e-06,0.022932368130656584
0.00035,2.1588374982924104e-06,0.0232882953150443
0.000352,2.2057725120982464e-06,0.023647294391629495
0.000354,2.253428595222817e-06,0.024009364441941787
0.000356,2.3018118885251567e-06,0.024374504338414767
0.000358,2.3509285304005896e-06,0.024742712745027436
0.00035999999999999997,2.4007846563644742e-06,0.02511398811795779
0.00036199999999999996,2.451386398637263e-06,0.02548832870624848
0.00036399999999999996,2.5027398857309085e-06,0.025865732552484488
0.000366,2.5548512420366344e-06,0.02624619749348273
0.000368,2.6077265874140988e-06,0.026629721160993505
0.00037,2.661372036781972e-06,0.027016300982413716
0.000372,2.715793699709954e-06,0.027405934181511778
0.000374,2.770997680012248e-06,0.02779861777916411
0.000376,2.8269900753425273e-06,0.028194348594103195
0.00037799999999999997,2.8837769767904013e-06,0.028593123243677042
0.00037999999999999997,2.941364468479415e-06,0.028994938144620057
0.00038199999999999996,2.999758627166605e-06,0.029399789513835137
0.000384,3.0589655218436245e-06,0.029807673369186993
0.000386,3.1189912133394704e-06,0.030218585530306586
0.000388,3.1798417539248297e-06,0.03063252161940657
0.00039,3.2415231869180675e-06,0.031049477062107683
0.000392,3.3040415462928762e-06,0.031469447088276
0.000394,3.367402856287615e-06,0.03189242673287092
0.000396,3.4316131310163513e-06,0.0323184108368039
0.00039799999999999997,3.496678374081633e-06,0.03274739404780774
0.00039999999999999996,3.562604578189008e-06,0.03317937082131638
0.00040199999999999996,3.6293977247633166e-06,0.0336143354213551
