t_s,x0_m,x1_m,v0_m_per_s,v1_m_per_s
0.0,0.0,0.0,0.0,0.0
2e-06,3.7619636776208514e-17,-1.1931399187448285e-19,8.261643504257788e-11,-1.1892959512793573e-13
4e-06,6.304270791481803e-16,-4.700134688056249e-19,6.451661336704653e-10,-2.2776687418461324e-13
6e-06,3.218135307591908e-15,-1.0047676897210303e-18,2.1674725723585552e-09,-2.9446150277798637e-13
8e-06,1.019998018269335e-14,-1.5844819577351647e-18,5.129234237128011e-09,-2.583957202408903e-13
9.999999999999999e-06,2.49344655714307e-14,-1.9163421194996022e-18,1.0010019731264141e-08,-2.5564326847201193e-14
1.2e-05,5.1739098691227744e-14,-1.4822217090620925e-18,1.7289262885236602e-08,5.362428626803167e-13
1.4e-05,9.58901156759899e-14,5.425436639780763e-19,2.74462578687791e-08,1.6022562105666288e-12
1.6e-05,1.6362219736852551e-13,5.380009884884956e-18,4.096015430521688e-08,3.3955390006976955e-12
1.8e-05,2.6212817534396655e-13,1.475010084807206e-17,5.830995238815057e-08,6.191797625097502e-12
1.9999999999999998e-05,3.9955872816898475e-13,3.09807027118734e-17,7.997449800059374e-08,1.0324189111581337e-11
2.2e-05,5.850220679018135e-13,5.712737047071558e-17,1.0643247783665525e-07,1.6188125898423777e-11
2.4e-05,8.285836168382655e-13,9.710264123388522e-17,1.381624145258722e-07,2.424607774704214e-11
2.6e-05,1.141265674509143e-12,1.5581494839022288e-16,1.7564266176028907e-07,3.50323706940751e-11
2.8e-05,1.5350470749346472e-12,2.3931713061948013e-16,2.193513994243913e-07,4.915798293153715e-11
2.9999999999999997e-05,2.0228628341415564e-12,3.54964529539738e-16,2.6976662872797067e-07,6.731533753419414e-11
3.2e-05,2.6186037879491796e-12,5.115826695447604e-16,3.2736616734203674e-07,9.028309191752765e-11
3.4e-05,3.3371162200302525e-12,7.196445132090148e-16,3.9262764453788283e-07,1.189309239142116e-10
3.6e-05,4.19420148025318e-12,9.914572854042871e-16,4.660284963293725e-07,1.5422431439983215e-10
3.7999999999999995e-05,5.2066155933121754e-12,1.3413588591110675e-15,5.480459606185757e-07,1.9722932633603715e-10
3.9999999999999996e-05,6.39206885765208e-12,1.7859236956662863e-15,6.391570723448305e-07,2.4911738015263465e-10
4.2e-05,7.769225434694842e-12,2.344178332014399e-15,7.398386586373538e-07,3.1117002533985024e-10
4.4e-05,9.35770292837481e-12,3.0378264072926824e-15,8.505673339714697e-07,3.847837081832444e-10
4.6e-05,1.1178071954990205e-11,3.8914832209292025e-15,9.718194953285783e-07,4.714745355109822e-10
4.8e-05,1.3251855703378336e-11,4.9329198141848816e-15,1.1040713173599375e-06,5.728830343798963e-10
4.9999999999999996e-05,1.560152948542229e-11,6.1933165668953685e-15,1.2477987475543879e-06,6.907789075668089e-10
5.2e-05,1.825052027689706e-11,7.70752630095412e-15,1.403477501410085e-06,8.270657848012561e-10
5.4e-05,2.1223206248663266e-11,9.51434688188996e-15,1.5715830576103651e-06,9.83785969603598e-10
5.6e-05,2.4544916288216794e-11,1.1656803309667404e-14,1.7525906532038123e-06,1.1631251816603669e-09
5.8e-05,2.8241929511602843e-11,1.4182439289676083e-14,1.9469752787886576e-06,1.3674172946089324e-09
5.9999999999999995e-05,3.234147476570322e-11,1.7143618274629948e-14,2.155211673701581e-06,1.5991490691493707e-09
6.2e-05,3.6871730120905663e-11,2.0597833967930927e-14,2.3777743212110207e-06,1.8609648813803355e-09
6.4e-05,4.186182235416444e-11,2.460803027884342e-14,2.615137443715097e-06,2.155671446247893e-09
6.599999999999999e-05,4.7341826422461394e-11,2.924293071960756e-14,2.8677749979442327e-06,2.4862425360224694e-09
6.8e-05,5.334276492667711e-11,3.4577377234444155e-14,3.136160670168573e-06,2.855823693695962e-09
7e-05,5.989660756588173e-11,4.0692678450196076e-14,3.420767871410313e-06,3.267736941196452e-09
7.2e-05,6.703627058205542e-11,4.767696733814184e-14,3.722069732660999e-06,3.725485482333331e-09
7.4e-05,7.479561619524854e-11,5.562556827633537e-14,4.040539100103943e-06,4.23275840035493e-09
7.599999999999999e-05,8.320945202919173e-11,6.464137350161044e-14,4.376648530341803e-06,4.79343535003935e-09
7.8e-05,9.231353052736649e-11,7.483522894020195e-14,4.730870285629458e-06,5.4115912442024345e-09
7.999999999999999e-05,1.021445483595469e-10,8.632632940573224e-14,5.103676329112262e-06,6.0915009345333535e-09
8.2e-05,1.1274014581882321e-10,9.924262315310945e-14,5.49553832006976e-06,6.8376438866587625e-09
8.4e-05,1.2413890620911847e-10,1.1372122577671035e-13,5.906927609164992e-06,7.654708849332532e-09
8.599999999999999e-05,1.3638035522320944e-10,1.299088434409693e-13,6.338315233699446e-06,8.547598517649585e-09
8.8e-05,1.4950496031126315e-10,1.479622054313642e-13,6.790171912873798e-06,9.521434190198501e-09
8.999999999999999e-05,1.635541300399006e-10,1.680485060135483e-13,7.262968043054475e-06,1.0581560420039013e-08
9.2e-05,1.7857021344179982e-10,1.9034585558818823e-13,7.757173693046205e-06,1.1733549659416504e-08
9.4e-05,1.9459649935584995e-10,2.1504374112888787e-13,8.273258599370587e-06,1.2983206898110396e-08
9.6e-05,2.1167721575786832e-10,2.4234349589036074e-13,8.81169216155083e-06,1.4336574295317163e-08
9.8e-05,2.2985752908189363e-10,2.724587783738318e-13,9.372943437402707e-06,1.57999358049805e-08
9.999999999999999e-05,2.491835435320673e-10,3.056160605364533e-13,9.95748113833186e-06,1.737982179445261e-08
0.000102,2.697023003851153e-10,3.4205512523130863e-13,1.056577362463753e-05,1.9083013656407845e-08
0.000104,2.9146177728344495e-10,3.8202957286441105e-13,1.1198288900822792e-05,2.091654841390025e-08
0.000106,3.145108875188677e-10,4.2580733725487495e-13,1.1855494610911445e-05,2.28877233184655e-08
0.000108,3.38899479306963e-10,4.736712106842781e-13,1.2537858033771558e-05,2.5004100441187433e-08
0.00010999999999999999,3.6467833505209625e-10,5.259193781210102e-13,1.3245846078445887e-05,2.7273511256603668e-08
0.000112,3.918991706031038e-10,5.828659606052273e-13,1.3979925279489127e-05,2.970406121938348e-08
0.00011399999999999999,4.206146344996599e-10,6.448415677798308e-13,1.4740561792312212e-05,3.230413433365861e-08
0.000116,4.508783072093392e-10,7.121938595526961e-13,1.5528221388533666e-05,3.508239771492523e-08
0.000118,4.827447003553892e-10,7.85288116875188e-13,1.6343369451338157e-05,3.80478061444094e-08
0.00011999999999999999,5.162692559352268e-10,8.645078216217989e-13,1.718647097084231e-05,4.120960661580583e-08
0.000122,5.515083455296743e-10,9.502552455555662e-13,1.8057990539467893e-05,4.457734287429898e-08
0.000124,5.885192695029486e-10,1.0429520483637223e-12,1.8958392347322458e-05,4.8160859947761717e-08
0.000126,6.273602561934198e-10,1.1430398847478452e-12,1.988814017758756e-05,5.19703086700339e-08
0.000128,6.680904610951533e-10,1.2509810205525762e-12,2.084769740191457e-05,5.6016150196197466e-08
0.00013,7.107699660302522e-10,1.3672589579168014e-12,2.183752697582831e-05,6.030916050974183e-08
0.00013199999999999998,7.55459778312013e-10,1.4923790694309799e-12,2.2858091434138435e-05,6.4860434921533e-08
0.000134,8.022218298989144e-10,1.626869241284132e-12,2.3909852886358768e-05,6.968139256048314e-08
0.000136,8.511189765394509e-10,1.7712805253837882e-12,2.499327301213469e-05,7.478378085582488e-08
0.000138,9.022149969078294e-10,1.9261878004320313e-12,2.6108813056678565e-05,8.017968001091467e-08
0.00014,9.555745917305462e-10,2.09219044194057e-12,2.725693382621343e-05,8.588150746843865e-08
0.00014199999999999998,1.0112633829038581e-09,2.2699130011675776e-12,2.8438095683424946e-05,9.190202236695675e-08
0.000144,1.069347912602166e-09,2.460005892958862e-12,2.9652758542921716e-05,9.825432998867621e-08
0.000146,1.1298956423773301e-09,2.6631460924757444e-12,3.0901381866704125e-05,1.0495188619836144e-07
0.000148,1.1929749522489262e-09,2.8800378407918176e-12,3.2184424659641696e-05,1.1200850187328878e-07
0.00015,1.2586551397854702e-09,3.1114133593405714e-12,3.350234546495912e-05,1.194383473241468e-07
0.00015199999999999998,1.3270064191766217e-09,3.358033573195718e-12,3.485560235973105e-05,1.272559567068117e-07
0.000154,1.3980999202963852e-09,3.62068884316582e-12,3.624465295038568e-05,1.354762324248618e-07
0.000156,1.4720076877573279e-09,3.900199706684666e-12,3.7669954368217336e-05,1.4411444952278734e-07
0.000158,1.5488026799558327e-09,4.19741762747864e-12,3.913196326490799e-05,1.5318626006976356e-07
0.00015999999999999999,1.6285587681084016e-09,4.513225753992144e-12,4.063113580805797e-05,1.6270769753391193e-07
0.00016199999999999998,1.711350735279031e-09,4.8485396865519715e-12,4.216792767672576e-05,1.7269518114696863e-07
0.000164,1.797254275397675e-09,5.204308253251315e-12,4.374279405697719e-05,1.8316552025923639e-07
0.000166,1.8863459922698174e-09,5.581514294533913e-12,4.5356189637443976e-05,1.9413591868475645e-07
0.000168,1.978703398577169e-09,5.981175456458686e-12,4.700856860489166e-05,2.0562397903660198e-07
0.00016999999999999999,2.0744049148695125e-09,6.404344992624986e-12,4.870038463979722e-05,2.1764770705219125e-07
0.00017199999999999998,2.173529868547708e-09,6.852112574738439e-12,5.043209091193616e-05,2.302255159085367e-07
0.000174,2.2761584928378878e-09,7.325605111797138e-12,5.220414007597951e-05,2.433762305273448e-07
0.000176,2.3823719257568513e-09,7.825987577877816e-12,5.401698426710056e-05,2.5711909186986435e-07
0.000178,2.4922522090686836e-09,8.354463848501387e-12,5.587107509659144e-05,2.71473761221401e-07
0.00017999999999999998,2.6058822872326203e-09,8.912277545557109e-12,5.7766863647489796e-05,2.8646032446540056e-07
0.00018199999999999998,2.723346006342169e-09,9.500712890764414e-12,5.970480047021553e-05,3.0209929634701725e-07
0.000184,2.8447281130555245e-09,1.0121095567651287e-11,6.16853355782177e-05,3.1841162472608275e-07
0.000186,2.9701142535172765e-09,1.0774793592027889e-11,6.370891844363162e-05,3.3541869481935916e-07
0.000188,3.099590972271453e-09,1.1463218190933939e-11,6.577599799294637e-05,3.531423334320251e-07
0.00018999999999999998,3.233245711165899e-09,1.2187824690038191e-11,6.788702260268271e-05,3.716048131782739e-07
0.000192,3.3711668082480303e-09,1.2950113409468158e-11,7.004244009508168e-05,3.908288566909482e-07
0.000194,3.5134434966519688e-09,1.3751630568048088e-11,7.224269773380338e-05,4.108376408201312e-07
0.000196,3.660165903477089e-09,1.4593969195922974e-11,7.44882422196369e-05,4.3165480082058183e-07
0.000198,3.811425048657994e-09,1.5478770055546237e-11,7.677951968622079e-05,4.5330443452794744e-07
0.00019999999999999998,3.967312843825944e-09,1.640772257100852e-11,7.911697569577453e-05,4.7581110652365817e-07
0.000202,4.127922091161761e-09,1.738256576568489e-11,8.150105523484067e-05,4.991998522884083e-07
0.000204,4.293346482240221e-09,1.840508920817752e-11,8.393220271003828e-05,5.234961823441548e-07
0.000206,4.463680596865973e-09,1.9477133966530812e-11,8.641086194382755e-05,5.487260863845188e-07
0.000208,4.639019901900996e-09,2.060059357069565e-11,8.893747617028531e-05,5.749160373935402e-07
0.00020999999999999998,4.819460750083611e-09,2.1777414983219444e-11,9.151248803089205e-05,6.020929957526523e-07
0.000212,5.0051003788390934e-09,2.300959957813829e-11,9.413633957033033e-05,6.302844133358352e-07
0.000214,5.196036909081877e-09,2.429920412804753e-11,9.68094722322945e-05,6.59518237592829e-07
0.000216,5.392369344009402e-09,2.5648341799326726e-11,9.953232685531208e-05,6.898229156203335e-07
0.00021799999999999999,5.5941975678876075e-09,2.705918315549496e-11,0.00010230534366857673,7.212273982211164e-07
0.00021999999999999998,5.801622344828111e-09,2.853395716867219e-11,0.00010512896228779285,7.537611439509251e-07
0.000222,6.01474531755708e-09,3.0074952239122136e-11,0.00010800362171103212,7.874541231531311e-07
0.000224,6.233669006175836e-09,3.168451722285218e-11,0.00011092976031460183,8.223368219810197e-07
0.000226,6.458496806913203e-09,3.336506246724535e-11,0.00011390781584892513,8.584402464076384e-07
0.00022799999999999999,6.689332990869627e-09,3.511906085469952e-11,0.0001169382254344334,8.957959262231167e-07
0.00022999999999999998,6.926282702753096e-09,3.6949048854248695e-11,0.00012002142555747063,9.344359190193749e-07
0.000232,7.169451959606882e-09,3.885762758114096e-11,0.00012315785206621014,9.743928141621512e-07
0.000234,7.41894764952912e-09,4.084746386434779e-11,0.0001263479401665835,1.0156997367502334e-06
0.000236,7.67487753038427e-09,4.292129132197889e-11,0.00012959212441822183,1.0583903515618373e-06
0.00023799999999999998,7.937350228506466e-09,4.5081911444577015e-11,0.0001328908387304094,1.1024988669880433e-06
0.00023999999999999998,8.206475237394784e-09,4.733219468626646e-11,0.00013624451635805025,1.1480600389532028e-06
0.000242,8.48236291640046e-09,4.967508156372941e-11,0.00013965358989764663,1.195109174822235e-06
0.000244,8.76512448940607e-09,5.211358376298368e-11,0.00014311849128329082,1.2436821372947297e-06
0.00024599999999999996,9.054872043496726e-09,5.4650785253935343e-11,0.00014663965178266945,1.293815348285774e-06
0.000248,9.351718527623266e-09,5.7289843412679726e-11,0.0001502175019930807,1.3455457927934314e-06
0.00025,9.655777751257506e-09,6.003399015152393e-11,0.0001538524718374643,1.3989110227527707e-06
0.000252,9.967164383039572e-09,6.288653305670387e-11,0.00015754499056044464,1.4539491608763826e-06
0.000254,1.028599394941731e-08,6.585085653376884e-11,0.00016129548672438708,1.510698904481297e-06
0.000256,1.0612382833277854e-08,6.893042296060616e-11,0.0001651043882054672,1.5691995293022163e-06
0.000258,1.0946448272571305e-08,7.21287738480786e-11,0.00016897212218975358,1.6294908932909862e-06
0.00026,1.1288308358926627e-08,7.544953100824688e-11,0.00017289911516930341,1.6916134404022257e-06
0.00026199999999999997,1.1638082036259723e-08,7.889639773014955e-11,0.00017688579293827214,1.755608204365043e-06
0.00026399999999999997,1.1995889099373755e-08,8.247315996311235e-11,0.00018093258058903602,1.8215168124407354e-06
0.000266,1.2361850192551712e-08,8.61836875075588e-11,0.0001850399025083286,1.8893814891664267e-06
0.000268,1.2736086808141286e-08,9.003193521329405e-11,0.00018920818237339076,1.9592450600845294e-06
0.00027,1.3118721285132034e-08,9.402194418523328e-11,0.00019343784314813405,2.0311509554579808e-06
0.000272,1.3509876807724904e-08,9.815784299654646e-11,0.00019772930707931868,2.105143213971156e-06
0.000274,1.3909677403894111e-08,1.0244384890919036e-10,0.00020208299569274442,2.181266486416389e-06
0.000276,1.4318247943941431e-08,1.0688426910179932e-10,0.00020649932978945601,2.2595660393660263e-06
0.000278,1.47357141390429e-08,1.1148350190490543e-10,0.00021097872944196247,2.340087758829922e-06
0.00028,1.516220253978797e-08,1.1624603804345924e-10,0.00021552161399047038,2.4228781538983127e-06
0.00028199999999999997,1.559784053471116e-08,1.2117646188662143e-10,0.00022012840203913152,2.5079843603699903e-06
0.00028399999999999996,1.6042756348816196e-08,1.2627945270479606e-10,0.0002247995114523044,2.595454144365689e-06
0.000286,1.64970790420927e-08,1.3155978593387583e-10,0.0002295353593508306,2.6853359059266177e-06
0.000288,1.6960938508025446e-08,1.3702233444666936e-10,0.00023433636210832496,2.7776786825980684e-06
0.00029,1.7434465472096204e-08,1.426720698314809e-10,0.00023920293534748067,2.8725321529980053e-06
0.000292,1.791779149027822e-08,1.4851406367781194e-10,0.0002441354939363886,2.969946640370579e-06
0.000294,1.8411048947523342e-08,1.5455348886915478e-10,0.0002491344519848713,3.0699731161244805e-06
0.000296,1.891437105624182e-08,1.6079562088284758e-10,0.00025420022284083194,3.1726632033560623e-06
0.000298,1.9427891854774837e-08,1.672458390969604e-10,0.0002593332190866175,3.2780691803571515e-06
0.0003,1.995174620585978e-08,1.7390962810418163e-10,0.00026453385253539716,3.38624398410749e-06
0.00030199999999999997,2.0486069795088252e-08,1.8079257903267335e-10,0.00026980253422755556,3.4972412137517045e-06
0.00030399999999999996,2.1030999129356924e-08,1.8790039087386578e-10,0.00027513967442710095,3.6111151340607654e-06
0.000306,2.1586671535311202e-08,1.952388718171586e-10,0.000280545682618088,3.7279206788778367e-06
0.000308,2.215322515778175e-08,2.0281394059149858e-10,0.0002860209675010567,3.847713454548453e-06
0.00031,2.2730798958213915e-08,2.1063162781380155e-10,0.0002915659369894854,3.970549743334947e-06
0.000312,2.3319532713090068e-08,2.186980773441877e-10,0.0002971809982062596,4.096486506815072e-06
0.000314,2.3919567012344906e-08,2.270195476479981e-10,0.00030286655748015606,4.225581389264719e-06
0.000316,2.4531043257773716e-08,2.3560241316456077e-10,0.00030862302034234223,4.357892721024685e-06
0.000318,2.515410366143368e-08,2.4445316568267413e-10,0.0003144507915228908,4.493479521851394e-06
0.00031999999999999997,2.5788891244038214e-08,2.5357841572277604e-10,0.00032035027494731086,4.632401504251544e-06
0.00032199999999999997,2.643554983334438e-08,2.629848939257658e-10,0.00032632187373309333,4.774719076800543e-06
0.00032399999999999996,2.7094224062533398e-08,2.7267945244844677e-10,0.0003323659901862723,4.920493347444733e-06
0.000326,2.776505936858434e-08,2.8266906636555725e-10,0.0003384830257980033,5.0697861267872926e-06
0.000328,2.8448201990640914e-08,2.9296083507835684e-10,0.0003446733812411559,5.222659931357738e-06
0.00033,2.9143798968371546e-08,3.0356198372973506e-10,0.00035093745636692304,5.379177986865008e-06
0.000332,2.9851998140322616e-08,3.1447986462581e-10,0.0003572756502014458,5.539404231434e-06
0.000334,3.0572948142264995e-08,3.257219586639833e-10,0.00036368836094245456,5.703403318825529e-06
0.000336,3.130679840553392e-08,3.372958767674185e-10,0.000370175985955926,5.871240621639638e-06
0.000338,3.205369915536209e-08,3.492093613259089e-10,0.00037673892177275654,6.042982234502168e-06
0.00033999999999999997,3.281380140920624e-08,3.614702876431026e-10,0.00038337756408545127,6.21869497723455e-06
0.00034199999999999996,3.358725697506703e-08,3.740866653900492e-10,0.0003900923077448301,6.398446398006737e-06
0.00034399999999999996,3.437421844980244e-08,3.8706664006503636e-10,0.00039688354675674947,6.582304776473205e-06
0.000346,3.51748392174345e-08,4.004184944596813e-10,0.00040375167427884076,6.770339126891973e-06
0.000348,3.598927344744971e-08,4.1415065013124245e-10,0.00041069708261726537,6.962619201226561e-06
0.00035,3.681767609309272e-08,4.28271668881119e-10,0.00041772016322348595,7.159215492230822e-06
0.000352,3.766020288965386e-08,4.427902542395021e-10,0.00042482130669105415,7.3601992365166e-06
0.000354,3.8517010352750004e-08,4.577152529561449e-10,0.0004320009027524155,7.565642417604122e-06
0.000356,3.9388255776599266e-08,4.730556564972152e-10,0.00043925934027573083,7.775617768955084e-06
0.000358,4.0274097232289205e-08,4.888206025481976e-10,0.00044659700726171393,7.990198776988355e-06
0.00035999999999999997,4.11746935660388e-08,5.050193765228091e-10,0.000454014290840487,8.209459684078233e-06
0.00036199999999999996,4.209020439745416e-08,5.216614130778947e-10,0.00046151157726845223,8.433475491535184e-06
0.00036399999999999996,4.302079011777793e-08,5.387562976342655e-10,0.0004690892519251807,8.662321962569042e-06
0.000366,4.3966611888132565e-08,5.563137679034464e-10,0.0004767476993103179,8.89607562523454e-06
0.000368,4.4927831637757363e-08,5.743437154202974e-10,0.00048448730304050705,9.134813775359174e-06
0.00037,4.590461206223944e-08,5.928561870814724e-10,0.0004923084458463293,9.378614479453305e-06
0.000372,4.6897116621738525e-08,6.118613866896806e-10,0.0005002115095692603,9.627556577602413e-06
0.000374,4.790550953920574e-08,6.313696765037139e-10,0.0005081968751586454,9.881719686341518e-06
0.000376,4.892995579859632e-08,6.513915787942069e-10,0.0005162649226686905,1.0141184201511625e-05
0.00037799999999999997,4.9970621143076345e-08,6.7193777740509e-10,0.0005244160312554731,1.0406031301098198e-05
0.00037999999999999997,5.102767207322349e-08,6.930191193207021e-10,0.0005326505791739674,1.0676342948051533e-05
0.00038199999999999996,5.210127584522189e-08,7.146466162385261e-10,0.0005409689437750891,1.0952201893089062e-05
0.000384,5.319160046905104e-08,7.368314461475108e-10,0.0005493715015027565,1.1233691677479427e-05
0.000386,5.429881470666893e-08,7.595849549119426e-10,0.0005578586278909709,1.1520896635808362e-05
0.000388,5.5423088070189254e-08,7.829186578608303e-10,0.0005664306975609133,1.181390189872624e-05
0.00039,5.656459082005291e-08,8.068442413827676e-10,0.0005750880842180584,1.2112793395677294e-05
0.000392,5.772349396319369e-08,8.313735645262343e-10,0.0005838311606493081,1.2417657857610405e-05
0.000394,5.889996925119834e-08,8.565186606053021e-10,0.0005926602987201411,1.2728582819671436e-05
0.000396,6.00941891784608e-08,8.822917388107059e-10,0.0006015758693717822,1.3045656623877036e-05
0.00039799999999999997,6.130632698033094e-08,9.087051858262434e-10,0.0006105782426183875,1.336896842176984e-05
0.00039999999999999996,6.253655663125758e-08,9.357715674504678e-10,0.0006196677875442492,1.3698608177055075e-05
0.00040199999999999996,6.378505284292602e-08,9.63503630223634e-10,0.000628844872301018,1.4034666668218417e-05
0.000404,6.505199106238995e-08,9.91914303059862e-10,0.0006381098641049433,1.4377235491125155e-05
0.000406,6.633754747019795e-08,1.0210166988844808e-09,0.0006474631292341315,1.472640706160049e-05
0.000408,6.764189897851448e-08,1.050824116276512e-09,0.0006569050330258237,1.508227461799103e-05
