t_s,x0_m,x1_m,x2_m,v0_m_per_s,v1_m_per_s,v2_m_per_s
0.0,0.0,0.0,0.0,0.0,0.0,0.0
2e-06,3.761963676004125e-17,-1.2107319960730185e-19,-1.0450210778236545e-24,8.261643501220858e-11,-1.2068311985432825e-13,-1.86484368358868e-18
4e-06,6.30427078971808e-16,-4.769434264208278e-19,-1.0392014036791284e-23,6.451661335242522e-10,-2.3112508057366674e-13,-8.320817926926026e-18
6e-06,3.218135306932927e-15,-1.0195821046772525e-18,-3.678496512294142e-23,2.16747257200577e-09,-2.9880309075957646e-13,-1.8639516836841368e-17
8e-06,1.0199980181064857e-14,-1.6078439194744394e-18,-8.587608946542978e-23,5.1292342365047834e-09,-2.622057335539983e-13,-3.032252431975554e-17
9.999999999999999e-06,2.4934465568290175e-14,-1.9445978310073583e-18,-1.556564323901023e-22,1.0010019730392902e-08,-2.5941868916631437e-14,-3.7961239493675437e-17
1.2e-05,5.1739098686238256e-14,-1.5040785784434148e-18,-2.292641194721983e-22,1.7289262884321234e-08,5.441479820667146e-13,-3.182938341590436e-17
1.4e-05,9.58901156695067e-14,5.505367082277506e-19,-2.6478505170113255e-22,2.7446257868338875e-08,1.6258778948682166e-12,3.717042092642752e-18
1.6e-05,1.6362219736241115e-13,5.4593219648162535e-18,-1.8166106039487074e-22,4.0960154306279464e-08,3.4456003357726308e-12,9.203223223140979e-17
1.8e-05,2.6212817534284503e-13,1.4967560706083205e-17,1.5667923674945594e-22,5.830995239250485e-08,6.2830874037717935e-12,2.6616537836374554e-16
1.9999999999999998e-05,3.995587281820774e-13,3.143746437695165e-17,9.643514026968886e-22,7.997449801111795e-08,1.0476409408195454e-11,5.710376691235705e-16
2.2e-05,5.850220679455085e-13,5.79696451315515e-17,2.5590922522312802e-21,1.0643247785772251e-07,1.6426810704339127e-11,1.0658113699964247e-15
2.4e-05,8.285836169396011e-13,9.853433743260815e-17,5.393267057850886e-21,1.381624145638659e-07,2.460358265119341e-11,1.8264508540313575e-15
2.6e-05,1.1412656747104288e-12,1.5811236263972227e-16,1.0090190660977365e-20,1.7564266182422303e-07,3.5548933633401806e-11,2.948475451496438e-15
2.8e-05,1.5350470752994345e-12,2.428458306054683e-16,1.7486145992175167e-20,2.193513995266482e-07,4.988285602046453e-11,4.549903983352324e-15
2.9999999999999997e-05,2.022862834762241e-12,3.6019857204640407e-16,2.867848322845825e-20,2.6976662888518814e-07,6.830798997031932e-11,6.774390838230221e-15
