t_ms,px,py,confidence
0.0,199.6160,239.8885,1.0
20.0,201.4949,239.5329,1.0
40.0,202.8560,239.9777,1.0
60.0,204.9955,239.9161,1.0
80.0,206.6034,240.3336,1.0
100.0,207.9822,240.2332,1.0
120.0,209.2417,239.8304,1.0
140.0,211.1804,240.3715,1.0
160.0,212.8583,240.0074,1.0
180.0,214.3294,240.1823,1.0
200.0,215.5502,239.9339,1.0
220.0,217.4830,239.6312,1.0
240.0,219.2556,239.9198,1.0
260.0,220.5342,239.9807,1.0
280.0,222.2499,240.1281,1.0
300.0,224.1600,240.2733,1.0
320.0,225.4880,240.1248,1.0
340.0,226.8544,239.6606,1.0
360.0,228.6938,239.8239,1.0
380.0,230.2992,240.3097,1.0
400.0,231.8365,239.4499,1.0
420.0,233.3433,239.8768,1.0
440.0,235.2972,240.5478,1.0
460.0,236.0384,239.8863,1.0
480.0,238.4548,240.5003,1.0
500.0,239.9726,239.6113,1.0
520.0,241.3612,239.5534,1.0
540.0,243.3588,240.2231,1.0
560.0,245.4809,240.1551,1.0
580.0,246.0032,239.7290,1.0
600.0,247.8466,240.3861,1.0
620.0,249.5842,240.1583,1.0
640.0,250.7520,240.2142,1.0
660.0,252.7801,240.2584,1.0
680.0,254.3163,239.7345,1.0
700.0,255.9813,240.1535,1.0
720.0,257.3891,239.7472,1.0
740.0,259.2033,240.3788,1.0
760.0,260.3967,240.1322,1.0
780.0,262.4654,239.9204,1.0
800.0,263.8966,240.0098,1.0
820.0,264.9922,239.9919,1.0
840.0,267.0074,239.9407,1.0
860.0,268.4216,240.0427,1.0
880.0,270.7927,239.9118,1.0
900.0,272.1573,239.9464,1.0
920.0,274.0306,240.0339,1.0
940.0,274.9271,239.8851,1.0
960.0,276.7699,239.8250,1.0
980.0,278.4310,239.7200,1.0
1000.0,279.9793,240.0253,1.0
1020.0,281.3207,240.0901,1.0
1040.0,283.8079,239.5934,1.0
1060.0,284.4023,239.9272,1.0
1080.0,285.9799,239.5536,1.0
1100.0,288.1972,240.0188,1.0
1120.0,289.2162,239.8070,1.0
1140.0,291.6888,239.7626,1.0
1160.0,292.2698,239.6895,1.0
1180.0,293.9813,239.7493,1.0
1200.0,295.9096,239.9466,0.0
1220.0,297.5557,240.0098,0.0
1240.0,299.1359,239.9427,0.0
1260.0,301.2261,240.1276,0.0
1280.0,302.2640,239.9722,0.0
1300.0,303.7631,239.7655,0.0
1320.0,305.9742,239.8755,0.0
1340.0,307.2846,240.2984,0.0
1360.0,308.3272,239.7571,0.0
1380.0,310.3746,239.8782,0.0
1400.0,311.8521,239.6715,0.0
1420.0,313.7565,239.6438,0.0
1440.0,314.9591,239.9139,0.0
1460.0,317.1771,239.7783,0.0
1480.0,318.7308,239.7405,0.0
1500.0,319.9102,239.7439,1.0
1520.0,321.0905,239.4661,1.0
1540.0,323.0965,239.7302,1.0
1560.0,324.7650,239.8554,1.0
1580.0,326.5712,239.8142,1.0
1600.0,327.5055,239.9412,1.0
1620.0,329.9277,239.6336,1.0
1640.0,331.2530,240.0085,1.0
1660.0,333.0990,239.8979,1.0
1680.0,334.3076,240.0140,1.0
1700.0,335.8886,239.8329,1.0
1720.0,337.6201,239.9634,1.0
1740.0,339.0027,239.8436,1.0
1760.0,340.9601,240.2160,1.0
1780.0,342.5287,240.3025,1.0
1800.0,343.6957,240.0145,1.0
1820.0,346.0169,239.8919,1.0
1840.0,347.3688,239.6471,1.0
1860.0,348.4554,240.6009,1.0
1880.0,350.8688,239.3837,1.0
1900.0,351.8534,240.6144,1.0
1920.0,353.6533,240.0632,1.0
1940.0,355.4217,240.1469,1.0
1960.0,356.4564,239.5398,1.0
1980.0,358.4724,240.1386,1.0
2000.0,359.5273,240.4724,1.0
2020.0,361.2494,239.8796,1.0
2040.0,363.4700,239.6447,1.0
2060.0,365.2133,240.1391,1.0
2080.0,366.4498,240.2949,1.0
2100.0,368.2774,240.1861,1.0
2120.0,369.8671,240.2478,1.0
2140.0,371.2995,240.1054,1.0
2160.0,372.6418,239.9686,1.0
2180.0,374.7055,240.2079,1.0
2200.0,375.6495,240.0719,1.0
2220.0,377.2095,239.9125,1.0
2240.0,379.5617,239.7988,1.0
2260.0,380.5779,239.4280,1.0
2280.0,381.6214,239.3127,1.0
2300.0,383.7050,239.6398,1.0
2320.0,386.0348,240.0783,1.0
2340.0,387.4376,240.1359,1.0
2360.0,388.5663,239.5838,1.0
2380.0,391.0609,240.3533,1.0
